id,slug,name,gyg_id,gyg_url,status,confidence
888,alesd,Aleșd,,,not_found,not_found
889,stei,Ștei,,,not_found,not_found
890,baile-felix,Băile Felix,169162,https://www.getyourguide.com/romania-l169162/,ok,low
891,baile-1-mai,Băile 1 Mai,,,not_found,not_found
892,bacau,Bacău,169162,https://www.getyourguide.com/romania-l169162/,ok,low
893,onesti,Onești,,,not_found,not_found
894,moinesti,Moinești,,,not_found,not_found
895,comanesti,Comănești,,,not_found,not_found
896,buhusi,Buhuși,,,not_found,not_found
897,darmanesti,Dărmănești,,,not_found,not_found
898,targu-ocna,Târgu Ocna,,,not_found,not_found
899,slanic-moldova,Slănic Moldova,91935,https://www.getyourguide.com/slanic-l91935/,ok,high
900,deva,Deva,2510,https://www.getyourguide.com/judetul-alba-l2510/,ok,low
901,hunedoara,Hunedoara,2510,https://www.getyourguide.com/judetul-alba-l2510/,ok,low
902,petrosani,Petroșani,,,not_found,not_found
903,lupeni,Lupeni,,,not_found,not_found
904,vulcan,Vulcan,3446,https://www.getyourguide.com/insulele-eoliene-l3446/,ok,low
905,orastie,Orăștie,,,not_found,not_found
906,brad,Brad,,,not_found,not_found
907,calan,Călan,,,not_found,not_found
908,sarmizegetusa,Sarmizegetusa,169162,https://www.getyourguide.com/romania-l169162/,ok,low
909,suceava,Suceava,257948,https://www.getyourguide.com/judetul-suceava-l257948/,ok,high
910,falticeni,Fălticeni,,,not_found,not_found
911,radauti,Rădăuți,,,not_found,not_found
912,campulung-moldovenesc,Câmpulung Moldovenesc,201945,https://www.getyourguide.com/arges-l201945/,ok,low
913,vatra-dornei,Vatra Dornei,,,not_found,not_found
914,gura-humorului,Gura Humorului,257948,https://www.getyourguide.com/judetul-suceava-l257948/,ok,low
915,siret,Siret,,,not_found,not_found
916,alba-iulia,Alba Iulia,2510,https://www.getyourguide.com/judetul-alba-l2510/,ok,low
917,aiud,Aiud,2510,https://www.getyourguide.com/judetul-alba-l2510/,ok,low
918,blaj,Blaj,2510,https://www.getyourguide.com/judetul-alba-l2510/,ok,low
919,sebes,Sebeș,2510,https://www.getyourguide.com/judetul-alba-l2510/,ok,low
920,cugir,Cugir,2510,https://www.getyourguide.com/judetul-alba-l2510/,ok,low
921,ocna-mures,Ocna Mureș,144429,https://www.getyourguide.com/judetul-mures-l144429/,ok,low
922,campeni,Câmpeni,,,not_found,not_found
923,buzau,Buzău,169162,https://www.getyourguide.com/romania-l169162/,ok,low
924,ramnicu-sarat,Râmnicu Sărat,,,not_found,not_found
925,nehoiu,Nehoiu,169162,https://www.getyourguide.com/romania-l169162/,ok,low
926,patarlagele,Pătârlagele,,,not_found,not_found
927,pogoanele,Pogoanele,,,not_found,not_found
928,botosani,Botoșani,,,not_found,not_found
929,dorohoi,Dorohoi,,,not_found,not_found
930,darabani,Darabani,,,not_found,not_found
931,saveni,Săveni,,,not_found,not_found
932,bistrita,Bistrița,169162,https://www.getyourguide.com/romania-l169162/,ok,low
933,nasaud,Năsăud,,,not_found,not_found
934,beclean,Beclean,,,not_found,not_found
935,sangeorz-bai,Sângeorz-Băi,,,not_found,not_found
936,braila,Brăila,169162,https://www.getyourguide.com/romania-l169162/,ok,low
937,ianca,Ianca,,,not_found,not_found
938,insuratei,Însurăței,,,not_found,not_found
939,faurei,Făurei,,,not_found,not_found
940,resita,Reșița,169162,https://www.getyourguide.com/romania-l169162/,ok,low
941,caransebes,Caransebeș,,,not_found,not_found
942,bocsa,Bocșa,,,not_found,not_found
943,oravita,Oravița,169162,https://www.getyourguide.com/romania-l169162/,ok,low
944,moldova-noua,Moldova Nouă,169139,https://www.getyourguide.com/moldova-l169139/,ok,high
945,anina,Anina,,,not_found,not_found
