"wp_ticket_id","created_at","post_status","wp_event_id","wp_product_id","ticket_code","wc_order_item_id","checkin_data","seat_label","seat_id","chart_id"
"848667","2026-03-23 13:13:02","publish","848408","848416","97FBE20CB","327822",,"R1, loc 9","tc_seat_3_9","848433"
"848668","2026-03-23 13:13:02","publish","848408","848416","E9ED6A39A","327822",,"R1, loc 10","tc_seat_3_10","848433"
"848669","2026-03-23 13:13:02","publish","848408","848416","557C495E0","327822",,"R1, loc 11","tc_seat_3_11","848433"
"852727","2026-03-29 12:35:33","publish","846252","846292","E97E0998B","329889",,"R1, loc 11","tc_seat_2_19","846293"
"852728","2026-03-29 12:35:33","publish","846252","846292","B40AE41A3","329889",,"R1, loc 12","tc_seat_2_18","846293"
"852881","2026-03-29 20:23:16","publish","846252","846292","B3515C60A","329980",,"R1, loc 16","tc_seat_2_14","846293"
"852882","2026-03-29 20:23:16","publish","846252","846292","7F7AFE779","329980",,"R1, loc 14","tc_seat_2_16","846293"
"852883","2026-03-29 20:23:16","publish","846252","846292","9E00874BA","329980",,"R1, loc 15","tc_seat_2_15","846293"
"852884","2026-03-29 20:23:16","publish","846252","846292","5145E83CD","329980",,"R1, loc 13","tc_seat_2_17","846293"
"853949","2026-03-31 22:23:34","publish","846252","846292","F64E68390","330390",,"Rand 1, loc 14","tc_seat_3_3","846293"
"853950","2026-03-31 22:23:35","publish","846252","846292","BBD0C640D","330390",,"Rand 1, loc 13","tc_seat_3_4","846293"
"855605","2026-04-04 07:56:33","publish","848408","848416","FBFFC2813","331181",,"R1, loc 6","tc_seat_3_6","848433"
"855606","2026-04-04 07:56:34","publish","848408","848416","B1FA49EC0","331181",,"R1, loc 7","tc_seat_3_7","848433"
"855607","2026-04-04 07:56:34","publish","848408","848416","3DF6D1529","331181",,"R1, loc 8","tc_seat_3_8","848433"
"855664","2026-04-04 10:05:04","publish","848408","848416","68E07901C","331213",,"R1, loc 12","tc_seat_3_12","848433"
"855665","2026-04-04 10:05:04","publish","848408","848416","4D5FB04B9","331213",,"R1, loc 13","tc_seat_3_13","848433"
