"wp_product_id","description"
"554693","Se prezintă actul doveditor la acces"
"554722","Reducere primele 100 bilete"
"554731","50 bilete. Se prezintă actul doveditor la acces"
"555045","reducere pana pe 8 ianuarie"
"555046","reducere pana pe 8 ianuarie"
"555048","reducere pana pe 8 ianuarie"
"555524","reducere primele bilete"
"557563","reducere pana pe 01 decembrie"
"558010","reducere primele bilete"
"558271","reducere primele bilete"
"558279","reducere pana pe 01 decembrie"
"558318","reducere primele bilete"
"558320","Oferta: adauga in cos multiplu de 2 bucati"
"558416","reducere primele bilete"
"558422","reducere pana pe 17 decembrie"
"558496","adauga in cos multiplu de 2 bucati"
"558498","reducere primele bilete"
"558885","Accesul celor 2 persoane se face in acelasi timp"
"558893","Accesul celor 2 persoane se face in acelasi timp"
"559361","Accesul celor 2 persoane se face in acelasi timp"
"559378","la acces se prezinta carnet elev/student"
"559390","Accesul celor 2 persoane se face in acelasi timp"
"559592","la acces se prezinta carnet elev/student"
"559610","reducere pana pe 20 decembrie"
"560506","reducere primele bilete"
"560554","reducere primele bilete"
"560556","reducere pana pe 29 ianuarie"
"560806","acest bilet Nu garanteaza loc pe scaun"
"561284","reducere primele bilete"
"561422","Oferta 1+1 FREE: adauga in cos multiplu de 2"
"561437","reducere primele bilete"
"561524","reducere primele bilete"
"561571","reducere pana pe data de 7 ianuarie"
"561644","reducere primele bilete"
"561646","*la acces se prezinta carnet elev/student"
"561995","reducere primele bilete"
"561996","reducere pana pe 30 ianuarie"
"562430","reducere primele bilete"
"563275","reducere primele bilete"
"563276","reducere pana pe 10 ianuarie"
"563857","reducere pana 5 decembrie"
"563872","reducere pana pe 10 decembrie"
"563876","reducere pana pe 10 decembrie"
"564179","reducere primele bilete"
"564639","reducere primele abonamente"
"564686","Reducere primele bilete fără loc la masă"
"564687","Fără loc la masă"
"564825","reducere primele bilete"
"564827","reducere primele bilete"
"564831","adauga in cos 10 bucati"
"564879","Reducere primele bilete"
"564880","Reducere pana pe 06.02.2025"
"564936","Reducere primele bilete"
"564937","Reducere pana pe 07.02.2025"
"565296","Reducere primele bilete"
"565297","Reducere pana pe 20.02.2025"
"565446","reducere primele bilete"
"566205","reducere primele bilete"
"566226","reducere primele bilete"
"566260","reducere primele bilete"
"566797","oferta iernii, reducere pana in 11 ianuarie"
"566847","reducere primele bilete"
"567517","reducere pana pe 10.01.2025"
"567519","reducere pana pe 10.01.2025"
"567520","reducere pana pe 10.01.2025"
"567600","reducere pana pe 31 decembrie"
"567708","in limita locurilor disponibile"
"567747","reducere pana in 15 ianuarie"
"568386","Reducere pentru primele abonamente"
"568395","Reducere abonamente pentru varsta 12-18 ani"
"568407","Reducere abonamente pentru varsta 18-21 ani"
"568768","reducere primele bilete"
"568775","reducere primele bilete"
"568992","reducere primele bilete"
"568993","reducere primele bilete"
"569251","reducere primele bilete"
"569255","reducere pana pe 15.02.2025"
"569257","reducere primele bilete"
"569264","reducere pana pe 15.02.2025"
"569265","*la acces se prezinta carnet elev/student"
"569274","adauga in cos 10 bucati"
"569413","reducere primele bilete"
"569627","reducere primele bilete"
"569694","reducere primele bilete"
"569697","reducere pana pe 03.01.2025"
"570196","reducere pana pe 10 ianuarie"
"570223","reducere pana pe 01.02.2025"
"570228","reducere pana pe 01.02.2025"
"570229","reducere pana pe 01.02.2025"
"570233","reducere pana pe 01.02.2025"
"571124","reducere pana pe 17 ianuarie"
"571287","in limita locurilor disponibile"
"571335","reducere primele bilete"
"571337","reducere primele bilete"
"571369","reducere pana pe 07.03.2025"
"571392","reducere pana pe 06.03.2025"
"571456","reducere primele bilete"
"571460","reducere primele bilete"
"572429","reducere primele bilete"
"572985","4 bilete la pret de 3"
"573083","reducere primele bilete"
"573258","Se prezintă actul doveditor la acces"
"573266","*la acces se prezinta carnet elev-student-cupon pensie"
"573285","*la acces se prezinta carnet elev-student-cupon pensie"
"573363","Se prezintă actul doveditor la acces"
"573434","*la acces se prezinta carnet elev-student-cupon pensie"
"573686","adauga in cos 4 bucati"
"573687","adauga in cos 6 bucati"
"573688","adauga in cos 4 bucati"
"573689","adauga in cos 5 bucati"
"573691","adauga in cos 6 bucati"
"574081","reducere primele bilete"
"574789","reducere primele bilete"
"574790","reducere pana pe 06.02.2025"
"576085","reducere primele bilete"
"576121","reducere primele bilete"
"576148","reducere pana pe 24 ianuarie"
"576186","reducere primele bilete"
"576331","*la acces se prezinta carnet elev/student"
"576337","reducere primele bilete"
"576338","reducere pana pe 20.03.2025"
"576395","*la acces se prezinta carnet elev/student"
"576396","reducere primele bilete"
"576397","reducere pana pe 21.03.2025"
"576421","*la acces se prezinta carnet elev/student"
"576422","reducere primele bilete"
"576423","reducere pana pe 27.03.2025"
"576425","*la acces se prezinta carnet elev/student"
"576429","reducere primele bilete"
"576430","reducere pana pe 28.03.2025"
"576447","reducere primele bilete"
"576471","reducere pana pe 31.01 in limita stocului"
"576502","*la acces se prezinta carnet elev/student"
"576503","reducere primele bilete"
"576507","reducere pana pe 09.04.2025"
"576509","*la acces se prezinta carnet elev/student"
"576510","reducere primele bilete"
"576516","reducere pana pe 10.04.2025"
"576518","*la acces se prezinta carnet elev/student"
"576525","reducere primele bilete"
"576526","reducere pana pe 11.04.2025"
"576528","*la acces se prezinta carnet elev/student"
"576529","reducere primele bilete"
"576530","reducere pana pe 07.03.25"
"576714","reducere pana pe 01.02.2025"
"577192","reducere primele bilete"
"577524","adauga in cos 10 bucati"
"577558","Se prezintă actul doveditor la acces"
"577605","reducere primele bilete"
"577659","reducere primele bilete"
"577687","reducere primele bilete"
"578482","reducere primele bilete"
"579103","Reducere primele bilete"
"579104","Reducere pana pe 07.06.2025"
"579120","Reducere primele bilete"
"579124","Reducere pana pe 06.06.2025"
"579512","Reducere primele bilete"
"579513","Reducere pana pe 17.04.2025"
"579520","Reducere primele bilete"
"579527","Reducere pana pe 25.04.2025"
"579803","reducere pana pe 20.02.2025"
"579806","reducere pana pe 20.02.2025"
"579821","reducere pana pe 20.02.2025"
"579867","Accesul celor 2 persoane se face in acelasi timp"
"579871","Accesul celor 2 persoane se face in acelasi timp"
"579883","Accesul celor 2 persoane se face in acelasi timp"
"579890","Accesul celor 2 persoane se face in acelasi timp"
"579905","Accesul celor 2 persoane se face in acelasi timp"
"580937","reducere primele bilete"
"580996","reducere primele bilete"
"581290","reducere primele bilete"
"581520","reducere primele bilete"
"581898","reducere primele bilete"
"582136","Oferta 1+1 FREE: adauga in cos multiplu de 2"
"582176","Oferta 1+1 FREE: adauga in cos multiplu de 2"
"582602","reducere primele bilete"
"584139","reducere primele bilete"
"584169","reducere pana in 1 martie"
"584182","reducere primele bilete"
"584183","reducere pana pe 13.03.2025"
"584252","reducere primele bilete"
"584254","reducere pana pe 20.02.2025"
"584464","reducere primele bilete"
"584726","reducere primele bilete"
"584727","reducere primele bilete"
"584728","reducere primele bilete"
"584867","Se prezintă actul doveditor la acces"
"585003","reducere primele bilete"
"585007","reducere pana pe 13.02.2025"
"585153","reducere primele bilete"
"585181","reducere primele bilete"
"585851","reducere primele bilete"
"585856","reducere primele bilete"
"586139","reducere primele bilete"
"586535","reducere primele bilete"
"586930","adauga in cos 10 bucati"
"587233","reducere pana pe 24 martie"
"587242","reducere pana pe 24 martie"
"587246","reducere pana pe 24 martie"
"587249","reducere pana pe 24 martie"
"587265","reducere pana pe 24 martie"
"587267","reducere pana pe 24 martie"
"587268","reducere pana pe 24 martie"
"587279","reducere pana pe 24 martie"
"587280","reducere pana pe 24 martie"
"587281","reducere pana pe 24 martie"
"587505","reducere pana pe 17.04"
