"wp_event_id","name"
"484054","Transilvania Bikers – Bikersfest 2024"
"484296","Grand Hotel Danemarca (Teatru Infinit) 28.05.24"
"485511","Nicu Nicusor & Vali Vatuiu: Iti aduc Primavara!"
"485667","Rock’n’RO Festival 2024"
"487038","Watzzy and The Watzaky Doodle Pigeons"
"487786","Boris Grebenshikov / BG+ @The Pub Universitatii"
"487797","Stema - seria concertelor acustice de vara ANULAT"
"489716","Aniversare Grup Om Bun"
"493081","Dirty Fest 2024 @Timisoara"
"493609","Seara cantecelor de munte - trupa CALEnDAR la Brasov"
"494147","Bikes Rock Festival @ Prejmer, Brasov"
"495392","Recycle Bin @Versus Pub"
"495396","Recycle Bin @Rocknrolla"
"495969","Andy Raychev (The Preacher Man) @The Pub Universitatii"
"497067","Transilvania Tattoo Expo @ Sala Thalia"
"499408","KEMPES electric @ Versus Pub"
"499666","Jazz Dixieland - Subi Tuba"
"499684","Claudia Serdan, Jimi El Laco & Marius Roje"
"499698","Mara Halunga & Caue De Marinis @ Acaju"
"499721","Volume - Rock Edition @ Zazen-Verde Urban"
"500381","Timpuri Noi @ Versus Pub"
"502132","Claudia Serdan & Jimi Laco @ Love bar, Sibiu"
"502442","Óperentzia @ Szimpla, Sepsiszentgyörgy"
"503591","Mara Halunga și Caue De Marinis @ Szimpla"
"505074","A'LIVE Concert | 10 ani @ The Pub Universitatii"
"524853","Sitele Primejdiei – o poveste originală (teatru)"
"532047","TRICOU GRATUIT pentru Danube Rock Revolution 2025"
