"wp_product_id","name","wp_event_id","price","stock_qty"
"848632","Categ. III","848620","50",
"848633","Categ. II","848620","60",
"848637","Categ. I","848620","70",
"848665","Categoria III","848662","50",
"848674","Categoria II","848662","60",
"848675","Categoria I","848662","70",
"848706","Categ.III","848703","40",
"848707","Categ.II","848703","50",
"848708","Categ.I","848703","60",
"848727","Categoria III","848709","50",
"848732","Categoria II","848709","60",
"848736","Categoria I","848709","70",
"848741","Categ.III","848716","50",
"848744","Categ.II","848716","60",
"848748","Categ.I","848716","70",
"848808","Categoria IV","848802","40",
"848811","Categoria III","848802","50",
"848812","Categoria II","848802","60",
"848814","Categoria I","848802","70",
"848838","Acces duminica 29.03.26","848832","35",
"848888","Front Row","848853","80","30"
"848891","Acces general","848853","60","120"
"848892","Cina Trattoria Monza","848853","200","10"
