"order_item_id","wp_order_id"
"290","1498"
"302","1532"
"306","1536"
"308","1538"
"310","1542"
"312","1545"
"314","1547"
"316","1552"
"320","1556"
"322","1558"
"324","1570"
"328","1573"
"330","1578"
"332","1581"
"336","1592"
"338","1597"
"342","1601"
"344","1603"
"346","1605"
"348","1608"
"350","1611"
"352","1613"
"354","1620"
"360","1627"
"362","1630"
"367","1640"
"384","1665"
"394","1682"
"396","1685"
"398","1690"
"400","1693"
"402","1695"
"404","1697"
"406","1699"
"408","1706"
"410","1712"
"412","1715"
"414","1717"
"416","1719"
"418","1722"
"420","1724"
"422","1726"
"424","1729"
"426","1732"
"428","1735"
"430","1737"
"432","1739"
"434","1741"
"436","1744"
"438","1746"
"440","1748"
"442","1751"
"444","1753"
"446","1755"
"448","1758"
"450","1760"
"452","1762"
"454","1766"
"456","1771"
"460","1774"
"464","1780"
"466","1786"
"468","1789"
"470","1795"
"472","1798"
"474","1800"
"476","1802"
"478","1804"
"480","1807"
"486","1816"
"488","1819"
"490","1823"
"492","1825"
"494","1827"
"496","1829"
"498","1832"
"500","1835"
"502","1837"
"506","1844"
"510","1850"
"512","1853"
"514","1855"
"518","1863"
"534","1881"
"536","1884"
"538","1887"
"540","1889"
"542","1893"
"544","1900"
"546","1903"
"548","1905"
"550","1907"
"554","1914"
"556","1918"
"558","1921"
"560","1923"
"562","1925"
"564","1928"
"566","1931"
"568","1934"
"572","1941"
"578","1949"
"580","1953"
"582","1956"
"584","1968"
"586","1970"
"588","1972"
"590","1975"
"592","1978"
"596","2007"
"598","2011"
"600","2022"
"602","2025"
"604","2028"
"608","2035"
"610","2037"
"612","2040"
"614","2048"
"616","2054"
"618","2062"
"620","2068"
"622","2070"
"624","2073"
"630","2080"
"634","2087"
"636","2092"
"638","2095"
"640","2099"
"642","2101"
"644","2104"
"646","2106"
"648","2113"
"650","2116"
"652","2120"
"654","2123"
"656","2128"
"658","2133"
"660","2136"
"662","2138"
"664","2141"
"666","2144"
"668","2146"
"670","2148"
"672","2151"
"674","2153"
"676","2156"
"678","2159"
"680","2162"
"682","2164"
"684","2166"
"686","2170"
"688","2173"
"690","2177"
"692","2180"
"694","2183"
"700","2199"
"702","2203"
"704","2210"
"706","2216"
"708","2219"
"710","2221"
"712","2224"
"714","2227"
"716","2229"
"718","2232"
"720","2235"
"732","2249"
"734","2251"
"736","2255"
"738","2257"
"740","2262"
"742","2264"
"746","2271"
"748","2274"
"750","2276"
"752","2279"
"754","2281"
"756","2285"
"758","2287"
"760","2293"
"762","2297"
"764","2299"
"766","2301"
"768","2308"
"772","2313"
"774","2316"
"776","2318"
"778","2325"
"780","2332"
"782","2334"
"784","2338"
"786","2341"
"788","2348"
"790","2350"
"792","2353"
"798","2364"
"800","2368"
"802","2371"
"804","2373"
"806","2376"
"808","2379"
"810","2381"
"812","2383"
"814","2386"
"816","2389"
"818","2393"
"820","2396"
"822","2398"
"824","2401"
"826","2406"
"828","2408"
"830","2411"
"832","2413"
"834","2418"
"836","2422"
"837","2422"
"838","2422"
"840","2426"
"842","2430"
"846","2441"
"848","2450"
"850","2454"
"852","2456"
"854","2459"
"856","2463"
"858","2465"
"860","2467"
"862","2469"
"864","2472"
"866","2475"
"868","2480"
"870","2485"
"872","2489"
"874","2493"
"876","2496"
"878","2501"
"880","2505"
"882","2511"
"884","2514"
"886","2516"
"888","2521"
"890","2537"
"892","2539"
"894","2549"
"898","2555"
"900","2560"
"902","2563"
"904","2568"
"906","2577"
"908","2583"
"912","2585"
"914","2595"
"916","2598"
"918","2603"
"920","2609"
"922","2611"
"924","2614"
"926","2616"
"928","2619"
"930","2623"
"932","2626"
"934","2629"
"936","2636"
"940","2644"
"942","2647"
"944","2650"
"948","2657"
"950","2659"
"952","2662"
"954","2666"
"956","2669"
"958","2672"
"960","2677"
"962","2681"
"964","2684"
"966","2689"
"968","2691"
"970","2694"
"972","2698"
"974","2702"
"976","2706"
"978","2711"
"980","2716"
"982","2720"
"986","2730"
"988","2737"
"990","2739"
"992","2742"
"994","2746"
"996","2750"
"998","2757"
"1000","2760"
"1002","2763"
"1010","2777"
"1014","2784"
"1016","2787"
"1018","2790"
"1020","2792"
"1022","2795"
"1024","2798"
"1026","2805"
"1028","2808"
"1030","2810"
"1034","2816"
"1036","2818"
"1038","2831"
"1040","2835"
"1042","2838"
"1044","2842"
"1046","2844"
"1050","2849"
"1052","2854"
"1054","2856"
"1056","2861"
"1058","2863"
"1060","2868"
"1062","2871"
"1064","2874"
"1066","2876"
"1068","2881"
"1070","2886"
"1072","2891"
"1074","2894"
"1078","2899"
"1080","2902"
"1082","2905"
"1084","2908"
"1086","2911"
"1088","2914"
"1090","2919"
"1092","2922"
"1094","2937"
"1096","2940"
"1098","2943"
"1100","2945"
"1102","2951"
"1104","2954"
"1106","2957"
"1108","2960"
"1110","2963"
"1114","2969"
"1120","2978"
"1122","2982"
"1124","2985"
"1126","2989"
"1128","2992"
"1130","2996"
"1134","3000"
"1136","3005"
"1138","3009"
"1140","3012"
"1142","3014"
"1144","3017"
"1146","3021"
"1148","3023"
"1150","3030"
"1152","3033"
"1154","3038"
"1156","3041"
"1158","3044"
"1162","3048"
"1164","3050"
"1166","3053"
"1168","3057"
"1170","3060"
"1172","3064"
"1176","3070"
"1178","3073"
"1180","3076"
"1184","3080"
"1188","3085"
"1190","3088"
"1194","3094"
"1196","3096"
"1198","3098"
"1202","3103"
"1204","3106"
"1206","3108"
"1207","3108"
"1209","3111"
"1211","3113"
"1213","3115"
"1215","3117"
"1217","3120"
"1219","3123"
"1221","3128"
"1223","3130"
"1225","3134"
"1227","3136"
"1229","3138"
"1231","3141"
"1233","3144"
"1237","3148"
"1243","3155"
"1245","3157"
"1249","3162"
"1251","3166"
"1253","3168"
"1255","3171"
"1257","3174"
"1259","3178"
"1261","3181"
"1263","3184"
"1265","3186"
"1267","3188"
"1269","3191"
"1271","3194"
"1273","3197"
"1275","3201"
"1277","3204"
"1279","3207"
"1281","3209"
