"wp_order_id","device_type","source_type","utm_source","utm_medium","utm_content","referrer","landing_page","session_count","session_pages","ip_address","user_agent"
"868421","Desktop","typein","(direct)",NULL,NULL,NULL,"https://old.ambilet.ro/","1","4","2a02:2f0d:2703:c100:bc2e:70a4:1b83:cd5f","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
"868431","Desktop","typein","(direct)",NULL,NULL,NULL,"https://old.ambilet.ro/bilete/when-violin-metavivaldi-ateneul-roman-769872/","1","4","2a02:2f0d:2703:c100:bc2e:70a4:1b83:cd5f","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
"868433","Mobile","typein","(direct)",NULL,NULL,"https://old.ambilet.ro/cont/","https://old.ambilet.ro/tickets-report/","1","23","188.27.72.65","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36"
"868435","Mobile","typein","(direct)",NULL,NULL,"https://old.ambilet.ro/cont/","https://old.ambilet.ro/tickets-report/","1","43","188.27.72.65","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36"
"868437","Mobile","typein","(direct)",NULL,NULL,"https://old.ambilet.ro/cont/","https://old.ambilet.ro/tickets-report/","1","51","188.27.72.65","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36"
"868439","Mobile","utm","fb","paid","120244744307830637","https://www.ambilet.ro/","https://old.ambilet.ro/bilete/when-violin-metavivaldi-ateneul-roman-769872/?utm_source=fb&utm_medium=paid&utm_campaign=Concert_Sales_Ateneu_30+iun+2026_700+2&ad=Bohemian+Ateneu&fbclid=IwZXh0bgNhZW0BMABhZGlkAasx9TzFlh1zcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7XJ_NHcRkOVl0Klt2vegM1ZuUJAhQhPhMt0NGHvhIKxtupqMbs9HHu7MQykA_aem_xT2O0_vqNt9shtrZ5l-AEw&utm_id=120244428465170637&utm_content=120244744307830637&utm_term=120244428465210637","1","3","188.25.11.103","Mozilla/5.0 (Linux; Android 16; SM-S911B Build/BP2A.250605.031.A3) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.175 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/562.0.0.51.73;IABMV/1;]"
"868441","Mobile","typein","(direct)",NULL,NULL,"https://old.ambilet.ro/login/","https://old.ambilet.ro/cont/","1","9","188.27.72.65","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36"
"868443","Mobile","typein","(direct)",NULL,NULL,"https://old.ambilet.ro/login/","https://old.ambilet.ro/cont/","1","23","188.27.72.65","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36"
"868445","Mobile","referral","l.facebook.com","referral","/","https://l.facebook.com/","https://old.ambilet.ro/bilete/trio-tangata-targu-jiu-848520/?fbclid=IwY2xjawSI0zxleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR6RYkYlygs3eZhGkWXxtnXjS5sJRO9Ze6zdCaNsuZs7PpvqwmdBoq_q8LOvWw_aem_nWW7qTTCPOxDYqvhnwaI_Q","1","5","213.233.88.29","Mozilla/5.0 (Linux; Android 16; SM-S938B Build/BP4A.251205.006) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.175 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/562.0.0.51.73;IABMV/1;]"
"868448","Mobile","utm","fb","paid","120241527110130637","https://old.ambilet.ro/bilete/trio-tangata-targu-jiu-848520/?fbclid=Iwb21leASLyaljbGNrBIvJoGV4dG4DYWVtAjExAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHsVwTqTG5uAGZBuUw8eskjvFIkTAQnTI8IOtvKj_x9u-62hQyfoQpM3Kjw67_aem_1kAMQoJB2YAkPdgxZokDig&utm_medium=paid&utm_source=fb&utm_id=120241526751840637&utm_content=120241527110130637&utm_term=120241526751850637&utm_campaign=120241526751840637","https://old.ambilet.ro/bilete/trio-tangata-targu-jiu-848520/?fbclid=Iwb21leASLyaljbGNrBIvJoGV4dG4DYWVtAjExAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHsVwTqTG5uAGZBuUw8eskjvFIkTAQnTI8IOtvKj_x9u-62hQyfoQpM3Kjw67_aem_1kAMQoJB2YAkPdgxZokDig&utm_medium=paid&utm_source=fb&utm_id=120241526751840637&utm_content=120241527110130637&utm_term=120241526751850637&utm_campaign=120241526751840637","1","3","82.77.76.109","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36"
