"wp_event_id","name","wp_slug","post_status","created_at","organizer_wp_user_id","starts_at","ends_at","location","image_url","ticket_terms","description","duration_type","organizer_email"
"846452","Ursul păcălit de vulpe - teatru pentru copii @Clubul Țăranului - La Mama","ursul-pacalit-de-vulpe-clubul-taranului-la-mama-846452","publish","2026-03-20 15:11:55","0","2026-05-16 11:00","2026-05-16 11:45:00","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846505","Ariciul și Țestoasa Uriașă - teatru pentru copii @ Clubul Țăranului - La Mama","ariciul-si-testoasa-uriasa-clubul-taranului-la-mama-846505","publish","2026-03-20 16:05:11","0","2026-05-02 11:00","2026-05-02 11:45:00","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846534","Tom Degețel - teatru pentru copii @ Clubul Țăranului – La Mama","tom-degetel-clubul-taranului-la-mama-846534","publish","2026-03-20 16:31:03","0","2026-05-23 11:00","2026-05-23 11:45:00","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846547","Magic Fairytale - teatru pentru copii @ Clubul Țăranului - La Mama","magic-fairytale-clubul-taranului-la-mama-846547","publish","2026-03-20 16:46:46","0","2026-06-01 11:00","2026-06-01 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846563","Motanul încălțat - teatru pentru copii @ Clubul Țăranului - La Mama","motanul-incaltat-clubul-taranului-la-mama-846563","publish","2026-03-20 16:55:47","0","2026-05-09 11:00","2026-05-09 11:45:00","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"848282","Pinocchio - by Qfeel @ Pitești","pinocchio-qfeel-pitesti-848282","publish","2026-03-23 10:18:55","0","2026-04-18 11:00","2026-04-18 11:55:00","Casa de Cultura a Sindicatelor, Pitesti",,,,"single_day",
"848520","Recital Trioul TANGATA - Jazz Tango @ Targu Jiu","trio-tangata-targu-jiu-848520","publish","2026-03-23 11:03:31","0","2026-06-06 19:00","2026-06-06 20:00","Teatrul Dramatic ""Elvira Godeanu"", Targu Jiu",,,,"single_day",
"848620","Pinocchio - by Qfeel @ Ramnicu Valcea","pinocchio-qfeel-ramnicu-valcea-848620","publish","2026-03-23 12:56:03","0","2026-04-18 18:00","2026-04-18 19:00:00","Casa de Cultura a Sindicatelor, Ramnicu Valcea",,,,"single_day",
"848703","Rapunzel – by Qfeel @Campulung Muscel","rapunzel-qfeel-campulung-muscel-848703","publish","2026-03-23 14:12:18","0","2026-05-09 18:00","2026-05-09 19:00:00","Casa de Cultura a Sindicatelor, Campulung Muscel",,,,"single_day",
"848709","Rapunzel – by Qfeel ora 10 @Iasi","rapunzel-by-qfeel-ora-10-iasi-848709","publish","2026-03-23 14:18:50","0","2026-05-16 10:00","2026-05-16 11:00:00","Casa de Cultura a Studentilor Iasi",,,,"single_day",
"848716","Rapunzel – by Qfeel ora 12 @Iasi","rapunzel-qfeel-ora-12-iasi-848716","publish","2026-03-23 14:48:22","0","2026-05-16 12:00","2026-05-16 13:00:00","Casa de Cultura a Studentilor Iasi",,,,"single_day",
"848802","Rapunzel - teatru Qfeel @ Constanta","rapunzel-qfeel-constanta-848802","publish","2026-03-23 16:06:09","0","2026-05-21 18:00","2026-05-21 19:00:00","Casa de Cultura a Sindicatelor Constanta",,,,"single_day",
"849613","Noi vrem să fim trimbulinzi. Concert Maxim Belciug si Gabriel Bălașa @ Timișoara","noi-vrem-sa-fim-trimbulinzi-timisoara-849613","publish","2026-03-24 17:11:55","0","2026-04-18 19:00","2026-04-18 21:00:00","Teatrul Merlin, Timișoara",,,,"single_day",
"854125","Rapunzel – by Qfeel @Ploiesti","rapunzel-qfeel-ploiesti-854125","publish","2026-04-01 14:04:44","0","2026-04-25 11:00","2026-04-25 12:00","Casa de Cultura a Sindicatelor, Ploiesti",,,,"single_day",
"855277","Ssssst! Silent Comedy with Serban Borda @Biblioteca Gheorghe Șincai, Oradea","ssssst-silent-comedy-serban-borda-oradea-855277","publish","2026-04-03 14:54:39","0","2026-04-22 17:00","2026-04-22 18:00:00","Amfiteatru, Biblioteca Județeană Gheorghe Șincai ,Oradea",,,,"single_day",
"855292","When Violin Meets Guitar METAVIVALDI @Targoviste","when-violin-meets-guitar-metavivaldi-targoviste-855292","publish","2026-04-03 15:31:25","0","2026-06-27 19:00","2026-06-27 21:00","Teatrul Municipal ""Tony Bulandra"", Targoviste",,,,"single_day",
"857491","PREMIERA Peter Pan - by Qfeel ora 10@Sala Luceafărul","peter-pan-qfeel-ora-10-sala-luceafarul-857491","publish","2026-04-08 13:01:07","0","2026-05-09 10:00","2026-05-09 11:00:00","Sala Luceafarul, Bucuresti",,,,"single_day",
"857587","PREMIERA Peter Pan - by Qfeel ora 12@Sala Luceafărul","peter-pan-qfeel-ora-12-sala-luceafarul-857587","publish","2026-04-08 13:01:14","0","2026-05-09 12:00","2026-05-09 12:55:00","Sala Luceafarul, Bucuresti",,,,"single_day",
"858545","MateMagica @ Biblioteca Gheorghe Șincai Oradea","matemagica-biblioteca-gheorghe-sincai-oradea-858545","publish","2026-04-10 11:03:38","0","2026-04-18 12:00","2026-04-18 13:00:00","Amfiteatru, Biblioteca Județeană Gheorghe Șincai ,Oradea",,,,"single_day",
"859936","Concert Adrian Ilie &amp; Friends @ Porto Arte","adrian-ilie-friends-porto-arte-859936","publish","2026-04-14 12:21:07","0","2026-04-25 20:00","2026-04-25 23:00:00","Porto Arte, Timisoara",,,,"single_day",
