"wp_ticket_id","created_at","post_status","wp_event_id","wp_product_id","ticket_code","wc_order_item_id","checkin_data"
"848667","2026-03-23 13:13:02","publish","848408","848416","97FBE20CB","327822",
"848668","2026-03-23 13:13:02","publish","848408","848416","E9ED6A39A","327822",
"848669","2026-03-23 13:13:02","publish","848408","848416","557C495E0","327822",
"852727","2026-03-29 12:35:33","publish","846252","846292","E97E0998B","329889",
"852728","2026-03-29 12:35:33","publish","846252","846292","B40AE41A3","329889",
"852881","2026-03-29 20:23:16","publish","846252","846292","B3515C60A","329980",
"852882","2026-03-29 20:23:16","publish","846252","846292","7F7AFE779","329980",
"852883","2026-03-29 20:23:16","publish","846252","846292","9E00874BA","329980",
"852884","2026-03-29 20:23:16","publish","846252","846292","5145E83CD","329980",
"853949","2026-03-31 22:23:34","publish","846252","846292","F64E68390","330390",
"853950","2026-03-31 22:23:35","publish","846252","846292","BBD0C640D","330390",
"855605","2026-04-04 07:56:33","publish","848408","848416","FBFFC2813","331181",
"855606","2026-04-04 07:56:34","publish","848408","848416","B1FA49EC0","331181",
"855607","2026-04-04 07:56:34","publish","848408","848416","3DF6D1529","331181",
"855664","2026-04-04 10:05:04","publish","848408","848416","68E07901C","331213",
"855665","2026-04-04 10:05:04","publish","848408","848416","4D5FB04B9","331213",
"855666","2026-04-04 10:05:04","publish","848408","848416","A96DB25B0","331213",
"855820","2026-04-04 15:26:16","publish","846208","846253","DCE88C934","331278",
"855821","2026-04-04 15:26:16","publish","846208","846253","CA9FE239B","331278",
"856073","2026-04-05 08:28:55","publish","846252","846282","9B675F88A","331398",
"856074","2026-04-05 08:28:55","publish","846252","846282","19824E64F","331398",
"856075","2026-04-05 08:28:55","publish","846252","846282","3E77BED23","331398",
"856255","2026-04-05 19:05:08","publish","848408","848416","8B2E16037","331503",
"856256","2026-04-05 19:05:09","publish","848408","848416","3A867A14D","331503",
"856257","2026-04-05 19:05:09","publish","848408","848416","D90D232D1","331503",
"863533","2026-04-24 10:19:42","publish","846252","846292","1A5F9EE42","335045",
"863534","2026-04-24 10:19:43","publish","846252","846292","EFF299F9B","335045",
"863535","2026-04-24 10:19:43","publish","846252","846292","7E81CAB6D","335045",
"863536","2026-04-24 10:19:43","publish","846252","846292","CC69D5942","335045",
"864079","2026-04-25 23:57:19","publish","848408","848415","B5C548BEF","335327",
"864080","2026-04-25 23:57:19","publish","848408","848415","336B06CA9","335327",
"864081","2026-04-25 23:57:19","publish","848408","848415","4CEC31892","335327",
"864099","2026-04-26 08:08:09","publish","848408","848415","2203F520B","335339",
"864100","2026-04-26 08:08:09","publish","848408","848415","EEED9602A","335339",
"864190","2026-04-26 14:30:24","publish","846252","846288","ECC7CB181","335389",
"864191","2026-04-26 14:30:24","publish","846252","846288","0021E8A9B","335389",
"864604","2026-04-29 16:51:44","trash","846252","846292","B116DDCA9","335579",
"864605","2026-04-29 16:51:44","trash","846252","846292","B86BEBE09","335579",
"864606","2026-04-29 16:51:44","trash","846252","846292","BD80A4CF6","335579",
"864607","2026-04-29 16:51:44","trash","846252","846292","9484B9132","335579",
"864780","2026-05-02 12:52:56","publish","846208","846248","A96E59DE2","335674",
"864781","2026-05-02 12:52:56","publish","846208","846248","59C09F468","335674",
"865054","2026-05-05 10:48:02","publish","846208","846248","79D8824FD","335816",
"865055","2026-05-05 10:48:02","publish","846208","846248","61EB8803C","335816",
"865087","2026-05-05 13:16:44","publish","846208","846253","903958679","335835",
"865088","2026-05-05 13:16:44","publish","846208","846253","1D5C113F7","335835",
"865103","2026-05-05 14:32:33","trash","846208","846253","AC115FB71","335847",
"865104","2026-05-05 14:32:33","trash","846208","846253","C87709F30","335847",
"865362","2026-05-06 15:54:54","publish","846208","846248","E3F851061","336004",
"865363","2026-05-06 15:54:54","publish","846208","846248","1ECF8DBF9","336004",
"865364","2026-05-06 15:54:54","publish","846208","846248","79F5C9132","336004",
"865411","2026-05-06 19:44:06","publish","846208","846248","42072C38C","336034",
"865412","2026-05-06 19:44:06","publish","846208","846248","486AE7D2F","336034",
"865414","2026-05-06 20:01:51","publish","846208","846253","7AD5B6229","336037",
"865415","2026-05-06 20:01:51","publish","846208","846253","70E0E22AD","336037",
"865570","2026-05-07 09:38:05","publish","846208","846253","25AF7DEE5","336129",
"865571","2026-05-07 09:38:05","publish","846208","846253","BC6C529F0","336129",
"865736","2026-05-07 21:29:48","publish","846208","846253","ED8149370","336222",
"865737","2026-05-07 21:29:48","publish","846208","846253","822B6C960","336222",
"865822","2026-05-08 08:35:36","publish","846208","846248","8E1F41FF3","336274",
"865998","2026-05-08 15:53:46","trash","846208","846253","E21CB5BF6","336383",
"865999","2026-05-08 15:53:46","trash","846208","846253","551CD1C1C","336383",
"866007","2026-05-08 16:01:21","publish","846208","846253","6AFBD8AE8","336390",
"866008","2026-05-08 16:01:21","publish","846208","846253","66C1B7F4E","336390",
"866212","2026-05-08 22:09:18","publish","846208","846253","BABFF9201","336514",
"866213","2026-05-08 22:09:18","publish","846208","846253","87F8B63FB","336514",
"866348","2026-05-09 08:41:44","publish","848408","848414","16A8B9671","336596",
"866349","2026-05-09 08:41:44","publish","848408","848414","5D92221C2","336596",
"866350","2026-05-09 08:41:44","publish","848408","848414","B2350C4F0","336596",
"866508","2026-05-09 11:18:30","publish","846208","846253","622AECC3A","336688",
"866509","2026-05-09 11:18:30","publish","846208","846253","192511651","336688",
"866545","2026-05-09 12:28:43","publish","846208","846253","4F795A7C5","336709",
"866546","2026-05-09 12:28:43","publish","846208","846253","32381E23B","336709",
"866627","2026-05-10 08:33:10","publish","846208","846253","B2462FFF6","336758",
"866628","2026-05-10 08:33:10","publish","846208","846253","E9476215B","336758",
"866629","2026-05-10 08:33:10","publish","846208","846253","E3F33CA61","336758",
"866630","2026-05-10 08:33:10","publish","846208","846253","4772F888A","336758",
"866653","2026-05-10 12:35:09","publish","846208","846253","950697A01","336772",
"866654","2026-05-10 12:35:09","publish","846208","846253","7A4CA61B5","336772",
"866655","2026-05-10 12:35:09","publish","846208","846253","D4AA69A90","336772",
"866685","2026-05-10 21:16:14","publish","848408","848416","161E465C0","336793",
"866686","2026-05-10 21:16:15","publish","848408","848416","B0301EC5A","336793",
"866687","2026-05-10 21:16:15","publish","848408","848416","935259931","336793",
"866688","2026-05-10 21:16:15","publish","848408","848416","457219E94","336793",
"866740","2026-05-11 18:10:16","publish","848408","848415","74B527F4A","336827",
"866741","2026-05-11 18:10:16","publish","848408","848415","7BB71A3E6","336827",
"866742","2026-05-11 18:10:16","publish","848408","848415","1726380E8","336827",
"866743","2026-05-11 18:10:16","publish","848408","848415","F6B131ADB","336827",
"866778","2026-05-12 15:18:54","publish","846252","846288","B7DEF5688","336849",
"866779","2026-05-12 15:18:54","publish","846252","846288","66B67080D","336849",
"866780","2026-05-12 15:18:54","publish","846252","846288","9BB953969","336849",
"866841","2026-05-13 10:19:00","trash","846208","846253","524C6D739","336881",
"866842","2026-05-13 10:19:00","trash","846208","846253","6044613F5","336881",
"866843","2026-05-13 10:19:00","trash","846208","846253","F351903F3","336881",
"866848","2026-05-13 10:23:41","publish","846208","846248","195C791C5","336885",
"866849","2026-05-13 10:23:41","publish","846208","846248","B2A580EB9","336885",
"866850","2026-05-13 10:23:41","publish","846208","846248","3631ABF04","336885",
"866964","2026-05-13 17:13:06","publish","846208","846248","0391AA0F5","336951",
"866965","2026-05-13 17:13:06","publish","846208","846248","B2AD73243","336951",
"867307","2026-05-15 13:14:14","publish","846252","846288","AA442143E","337161",
"867308","2026-05-15 13:14:14","publish","846252","846288","FE6866245","337161",
