"wp_product_id","name","wp_event_id","price","stock_qty","sold_count"
"855198","Taxa de participare - BARBATI","855186","119","50","0"
"855280","22.04.26 Acces","855277","40",,"18"
"855304","Categ.I","855292","110",,"9"
"855306","Categ.II","855292","90",,"20"
"855310","Categ.III","855292","70",,"19"
"855390","Abonament general","800982","185","500","0"
"855391","Abonament elevi/studenți/pensionari","800982","150","299","1"
"855739","26.06.26 Acces","855730","40",,"0"
"855971","08.05.26 Presale","855953","100","300","0"
"855975","08.05.26 Acces","855953","120","300","0"
"856397","30.05.26 Presale","856387","75","500","0"
"856398","30.05.26 Acces","856387","90","500","0"
"856421","INVITATIE Abonament","839214","0","0","100"
"856543","19.04.26 Acces","856427","40","60","0"
"856567","30.05.26 Acces ora 10","856551","40","60","0"
"856578","30.05.26 Acces ora 11:30","856571","40","60","0"
"856616","24.05.26 Bilet ora 20","856605","65","60","0"
"856626","29.05.26 Bilet ora 18:30","856617","65","60","0"
"856781","17.04.26 Acces VIP","856775","150","150","0"
"856782","17.04.26 Acces","856775","120","100","0"
"856800","Presale Abonament","856794","80","1996","4"
"856812","Presale Bilet 27.06.2026","856794","40","2000","0"
"856890","17.11.25 Earlybird","856874","69","50","0"
"856891","17.11.25 Presale","856874","79","200","0"
"856892","17.11.25 Acces","856874","85","200","0"
"856897","18.11.25 Presale","856879","79","500","0"
"856899","18.11.25 Acces","856879","85","500","0"
"857320","29.05.26 Presale","854242","70","180","0"
"857336","30.05.26 Acces","854250","70","200","0"
"857505","Categoria III","857491","50",,"0"
"857518","Categoria II","857491","60",,"0"
"857522","Categoria I","857491","70",,"5"
"857568","Categ.III","857542","50",,"0"
"857573","Categ.II","857542","60",,"2"
"857574","Categ.I","857542","70",,"10"
"857593","Cat.III","857587","50",,"0"
"857601","Cat.II","857587","60",,"0"
"857614","Cat.I","857587","70",,"2"
