nume,nume_en,slug,subtitlu,descriere,oras,judet,tip,adresa,latitudine,longitudine,meta_title,meta_description,cuvinte_cheie,imagine_principala,galerie_foto,imagine_credit,cod_lmi
"Biserica Sfântul Spiridon din Iași",,biserica-sfantul-spiridon-din-iasi-iasi,,,Iași,Iași,biserica-manastire,"Bd. Independenței 1",47.1682,27.5825,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/RO_%2C_IS%2C_Saint_Spiridon_Church_2.JPG/1280px-RO_%2C_IS%2C_Saint_Spiridon_Church_2.JPG,,"{""author"":""Argenna"",""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:RO_,_IS,_Saint_Spiridon_Church_2.JPG""}",IS-II-m-B-03914.01
"Biserica Toma Cozma, Str. Școalei 4",,biserica-toma-cozma-str-scoalei-4-iasi,,,Iași,Iași,biserica-manastire,"Str. Școalei 4",47.17345,27.565,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/Biserica_Toma_Cozma_01.JPG/1280px-Biserica_Toma_Cozma_01.JPG,,"{""author"":""Losy"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Toma_Cozma_01.JPG""}",IS-II-m-B-04063.01
"Biserica lipovenească din Iași",,biserica-lipoveneasca-din-iasi-iasi,,,Iași,Iași,biserica-manastire,,47.15318,27.586051,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/Biserica_lipoveneasca_din_Iasi30.jpg/1280px-Biserica_lipoveneasca_din_Iasi30.jpg,,"{""author"":""Cezar Suceveanu"",""license"":""CC BY 3.0"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_lipoveneasca_din_Iasi30.jpg""}",IS-II-m-B-04060
"Biserica romano-catolică Adormirea Maicii Domnului din Iași",,biserica-romano-catolica-adormirea-maicii-domnului-din-iasi-iasi,,,Iași,Iași,biserica-manastire,"Bd. Ștefan cel Mare și Sfânt 26",47.1600361,27.5835,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/ff/RO_IS_Roman_Catholic_cathedral.jpeg/1280px-RO_IS_Roman_Catholic_cathedral.jpeg,,"{""author"":""Andrei Stroe"",""license"":""CC BY 3.0"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:RO_IS_Roman_Catholic_cathedral.jpeg""}",IS-II-m-A-04074
"Biserica Banu din Iași, Str. Banu 9",,biserica-banu-din-iasi-str-banu-9-iasi,,,Iași,Iași,biserica-manastire,"Str. Banu 9",47.167666,27.577883,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/db/Biserica_Banu_din_Iasi.JPG/1280px-Biserica_Banu_din_Iasi.JPG,,"{""author"":""Ione.pomana"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Banu_din_Iasi.JPG""}",IS-II-m-B-03945
"Biserica Curelari, Str. Curelari 2",,biserica-curelari-str-curelari-2-iasi,,,Iași,Iași,biserica-manastire,"Str. Curelari 2",47.1665,27.5908,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cb/Biserica_Curelari_Iasi_02.JPG/1280px-Biserica_Curelari_Iasi_02.JPG,,"{""author"":""Losy"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Curelari_Iasi_02.JPG""}",IS-II-m-B-03834
"Biserica Sfântul Dumitru-Balș din Iași",,biserica-sfantul-dumitru-bals-din-iasi-iasi,,,Iași,Iași,biserica-manastire,"Str. 14 Decembrie 1989 15",47.16426,27.58256,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/Biserica_Sf._Dumitru_Bals_din_Iasi.jpg/1280px-Biserica_Sf._Dumitru_Bals_din_Iasi.jpg,,"{""author"":""Cezar Suceveanu"",""license"":""CC BY 3.0"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Sf._Dumitru_Bals_din_Iasi.jpg""}",IS-II-a-A-03691
"Biserica Sfântul Gheorghe - Lozonschi din Iași",,biserica-sfantul-gheorghe-lozonschi-din-iasi-iasi,,,Iași,Iași,biserica-manastire,"Str. Cloșca 2",47.163,27.5796,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b5/Biserica_Sf._Gheorghe_Lozonschi_din_Iasi5.jpg/1280px-Biserica_Sf._Gheorghe_Lozonschi_din_Iasi5.jpg,,"{""author"":""Cezar Suceveanu"",""license"":""CC BY 3.0"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Sf._Gheorghe_Lozonschi_din_Iasi5.jpg""}",IS-II-m-B-03807
"Biserica Barnovschi, Str. Ghica Vodă 26",,biserica-barnovschi-str-ghica-voda-26-iasi,,,Iași,Iași,biserica-manastire,"Str. Ghica Vodă 26",47.16028976,27.59329987,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/49/Biserica_Barnovschi20.jpg/1280px-Biserica_Barnovschi20.jpg,,"{""author"":""Cezar Suceveanu"",""license"":""CC BY 3.0"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Barnovschi20.jpg""}",IS-II-a-A-03907
"Biserica Nicoriță, Str. Nicoriță 1",,biserica-nicorita-str-nicorita-1-iasi,,,Iași,Iași,biserica-manastire,"Str. Nicoriță 1",47.16167,27.60237,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ae/Biserica_Nicoriata_Iasi_02.JPG/1280px-Biserica_Nicoriata_Iasi_02.JPG,,"{""author"":""Losy"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Nicoriata_Iasi_02.JPG""}",IS-II-m-B-03956
"Biserica Sfânta Treime din Iași",,biserica-sfanta-treime-din-iasi-iasi,,,Iași,Iași,biserica-manastire,"Str. Canta 2",47.17379,27.550653,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/04/Is_iasi_bisSfTreime_01.JPG/1280px-Is_iasi_bisSfTreime_01.JPG,,"{""author"":""ro:Utilizator:Losy"",""license"":""CC BY 2.5"",""license_url"":""https://creativecommons.org/licenses/by/2.5"",""source"":""https://commons.wikimedia.org/wiki/File:Is_iasi_bisSfTreime_01.JPG""}",IS-II-m-B-03765
"Biserica Sfântul Lazăr din Iași",,biserica-sfantul-lazar-din-iasi-iasi,,,Iași,Iași,biserica-manastire,"Str. Gusti Dimitrie 1",47.15866,27.59133,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/ff/Biserica_Sf._Lazar_din_Iasi23.jpg/1280px-Biserica_Sf._Lazar_din_Iasi23.jpg,,"{""author"":""Cezar Suceveanu"",""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Sf._Lazar_din_Iasi23.jpg""}",IS-II-m-B-03908
"Biserica Zlataust",,biserica-zlataust-iasi,,,Iași,Iași,biserica-manastire,,47.159669,27.597219,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/RO%2C_IS%2CZlataust_Church.JPG/1280px-RO%2C_IS%2CZlataust_Church.JPG,,"{""author"":""Argenna"",""license"":""CC BY 3.0"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:RO,_IS,Zlataust_Church.JPG""}",IS-II-a-B-04094
"Biserica Vulpe din Iași, Str. Sărăriei 40",,biserica-vulpe-din-iasi-str-sarariei-40-iasi,,,Iași,Iași,biserica-manastire,"Str. Sărăriei 40",47.16935,27.58799,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/Biserica_Vulpe_Iasi_02.JPG/1280px-Biserica_Vulpe_Iasi_02.JPG,,"{""author"":""Losy"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Vulpe_Iasi_02.JPG""}",IS-II-m-B-04025
"Biserica „Sf. Trei Ierarhi”",,biserica-sf-trei-ierarhi-iasi,,,Iași,Iași,biserica-manastire,"Bd. Ștefan cel Mare și Sfânt 28",47.15968,27.585104,,,,,,,IS-II-m-A-04076.01
